Company Name,Website,Industry,Products/Services,Value Proposition,Company Culture,Location,Leadership Team,Job Listings Count,Founding Year,Funding Status,Last Updated
AI Entourage,https://www.ai-entourage.ca,unknown,No data,,No data,Unknown,No data,0,Unknown,Unknown,2025-06-17T01:30:18.200219
AbGenomics,https://abgenomics.com,unknown,No data,,No data,Unknown,No data,0,Unknown,Unknown,2025-06-17T01:31:38.495439
Adimab,https://www.adimab.com,biotechnology,No data,,No data,Unknown,No data,0,Unknown,Unknown,2025-06-17T01:29:36.861234
Alienware,https://alienware.com,gaming hardware,"AW2725Q monitor, Alienware Aurora, Area-51 gaming laptops and desktops",Pure Performance. Sleek Design.,unknown,"Miami, Florida, USA",Frank Azor - Chief Gaming Officer,unknown,1996.0,acquired by Dell,2025-06-17T03:12:53.444570
Anthropic,https://anthropic.com,AI safety and research,No data,,No data,Unknown,No data,0,Unknown,Unknown,2025-06-17T01:26:32.668127
Carrier,https://www.carrier.com,"HVAC, Refrigeration, and Building Technologies",No data,,No data,Unknown,No data,0,Unknown,Unknown,2025-06-17T01:31:17.692984
Cloud Geometry,https://cloudgeometry.io,"Based on the company description, Cloud Geometry operates in the **Cloud Consulting Services** industry.

They are a specialized cloud systems integrator that provides professional services for cloud migration, infrastructure modernization, data engineering, and AI/ML implementation across major cloud platforms (AWS, Azure, GCP).",No data,No data,No data,Unknown,No data,0,Unknown,Unknown,2025-06-07T14:54:35.457488
Coupa Software,https://www.coupa.com,SaaS,Platform for comprehensive spend management,"Enabling clients to make smarter, more profitable decisions, thereby preventing margin erosion and driving growth across finance, procurement, and supply chain functions.",unknown,"San Mateo, California","key executives,  unknown - CTO,  Rob Bernshteyn - CEO",0,2006.0,public,2025-06-17T02:15:04.541962
Dollarama,https://www.dollarama.com,Retail,No data,No data,No data,Unknown,No data,0,Unknown,Unknown,2025-06-12T02:20:20.112661
IBM,https://ibm.com,Technology,No data,Transforming data into world-class digital experiences through AI and advanced technologies.,No data,Unknown,No data,0,Unknown,Unknown,2025-06-13T17:48:43.265810
OpenAI,https://openai.com,artificial intelligence,No data,No data,No data,Unknown,No data,0,Unknown,Unknown,Unknown
Pfizer Inc.,https://www.pfizer.com,** Pharmaceuticals,No data,No data,No data,Unknown,No data,0,Unknown,Unknown,2025-06-08T14:18:20.474703
Pheronym,https://pheronym.com,"Based on the company description, Pheronym operates in:

**Agricultural Biotechnology**

The company develops pheromone-based biological solutions for crop pest management, which falls squarely within the agricultural biotechnology sector that focuses on applying biological science and engineering to farming and food production.",No data,No data,No data,Unknown,No data,0,Unknown,Unknown,2025-06-08T14:24:16.465801
Regeneron Pharmaceuticals,https://www.regeneron.com,Unknown,No data,No data,No data,Unknown,No data,0,Unknown,Unknown,2025-06-09T16:28:44.824219
ResMed,https://www.resmed.com,healthcare,"AirFit P10 nasal pillow mask, AirMini travel CPAP, ResMed Cloud, Air10 CPAP device, myAir app","ResMed offers innovative solutions that improve patient outcomes, enhance patient comfort, and reduce healthcare costs through connected devices and cloud-based platforms.","ResMed fosters a culture of innovation, collaboration, and patient-centricity. They emphasize diversity, inclusion, and continuous learning.","San Diego, California/USA","Mick Farrell - CEO,  Brett Gallagher - CFO,  Suresh Gupta - CTO",0,1989.0,public,2025-06-17T02:16:21.385334
Test Company,https://www.google.com,Unknown,No data,No data,No data,Unknown,No data,0,Unknown,Unknown,2025-06-09T15:23:06.298916
TestCorp Fresh Verification,https://testcorp.com,Technology,No data,Delivering enterprise-grade software solutions that scale with your business needs.,No data,Unknown,No data,0,Unknown,Unknown,2025-06-13T15:56:49.717144
Walmart,https://walmart.com,Retail,No data,Offering low prices and a wide variety of products to customers.,No data,Unknown,No data,0,Unknown,Unknown,2025-06-13T16:43:33.840590
adtheorent.com,https://adtheorent.com,advertising technology,AdTheorent Platform,"AdTheorent provides highly targeted and efficient ad campaigns using machine learning algorithms, ensuring better ROI for advertisers.","AdTheorent fosters a culture of innovation, collaboration, and data-driven decision-making.","New York, NY/USA","Jim Lawson - CFO,  Paul Zaller - CEO,  Brian Lenz - CTO",0,2007.0,public,2025-06-17T02:16:56.163340
connatix.com,https://connatix.com,video technology,"in-house sales team, HTML5 video player, integrations with leading DSPs, direct demand from top brands, proprietary ad server and exchange","Offering a premium, highly customizable HTML5 video player with a guaranteed 99.99% uptime, notably without any annual or recurring player fees. For advertisers, they provide direct access to premium, brand-safe content, reducing supply chain costs, and enabling advanced, cookieless contextual targeting.",unknown,"New York, USA; Romania; Israel",Chief Revenue Officer (CRO) - Title,0,unknown,unknown,2025-06-17T02:01:24.678192
jelli.com,https://www.jelli.com,digital audio technology,"Triton Audio Marketplace, Digital audio and podcast audience reporting, Comprehensive audio advertising technology, Rankers","Providing an unparalleled portfolio of audio advertising technology and trusted, third-party measurement.",unknown,unknown,No data,0.0,unknown,unknown,2025-06-17T03:18:53.514753
lotlinx.com,https://www.lotlinx.com,unknown,No data,unknown,unknown,unknown,No data,0.0,2020.0,unknown,2025-06-17T03:20:29.014589
nativo.com,nativo.com,advertising technology,"Curation, Brand Rank, Self-Serve Platform, SaaS Enterprise Advertising Platform, SSP (Supply-Side Platform), SPARC",Advertising that Connects Better through advanced native ad experiences.,"remote-first, flexible roles, builder mindset",unknown,No data,unknown,unknown,unknown,2025-06-17T03:19:41.919635
nexxen.com,https://nexxen.com,unknown,No data,unknown,unknown,unknown,No data,0,2020.0,unknown,2025-06-17T02:19:01.324640
sizmek.com,https://sizmek.com,unknown,No data,unknown,unknown,unknown,No data,0,2020.0,unknown,2025-06-17T02:15:33.756956
